t_ms,x,y,z
0,0.05241,0.34695,9.95901
10,0.50652,0.39507,9.88426
20,0.57956,0.25652,9.77686
30,0.35563,-0.09123,9.63384
40,0.07076,-0.31555,9.62631
50,-0.27984,-0.47733,9.73398
60,-0.62381,-0.32206,9.90906
70,-0.64127,-0.01096,9.97229
80,-0.17492,0.28423,9.97062
90,0.44048,0.40295,9.85534
100,0.58558,0.31583,9.78383
110,0.47435,0.01718,9.62792
120,0.18721,-0.24084,9.65454
130,-0.14992,-0.42186,9.66109
140,-0.51427,-0.35215,9.84058
150,-0.6862,-0.07011,9.93352
160,-0.35414,0.21837,9.9591
170,0.26644,0.42829,9.97801
180,0.6343,0.35495,9.79525
190,0.53898,0.11625,9.70246
200,0.24729,-0.18602,9.63753
210,-0.02258,-0.44145,9.71084
220,-0.41128,-0.43623,9.74885
230,-0.71558,-0.22109,9.9204
240,-0.54368,0.13437,9.99784
250,0.06517,0.399,9.94154
260,0.53415,0.41,9.83968
270,0.6152,0.21829,9.7039
280,0.39225,-0.11119,9.62986
290,0.09512,-0.35901,9.67088
300,-0.27084,-0.46526,9.70333
310,-0.63675,-0.30897,9.89528
320,-0.67085,0.00975,9.95893
330,-0.13968,0.30649,9.96281
340,0.44995,0.41834,9.87511
350,0.64895,0.36285,9.7584
360,0.48063,0.0184,9.69811
370,0.17017,-0.26351,9.60255
380,-0.12478,-0.45501,9.68076
390,-0.50868,-0.32362,9.77717
400,-0.67867,-0.05666,9.91294
410,-0.38717,0.25915,9.95734
420,0.28185,0.44419,9.95295
430,0.57385,0.37193,9.78819
440,0.49567,0.10453,9.73633
450,0.30122,-0.18368,9.63986
460,-0.00926,-0.4382,9.61949
470,-0.37171,-0.39272,9.7609
480,-0.64588,-0.19086,9.9099
490,-0.50028,0.16067,10.01646
500,0.06752,0.38911,10.01335
510,0.504,0.39019,9.8842
520,0.57935,0.27315,9.76285
530,0.3611,-0.05662,9.59467
540,0.08999,-0.31154,9.60507
550,-0.23204,-0.46975,9.69257
560,-0.6401,-0.28501,9.84154
570,-0.64193,0.05328,9.99077
